2026-03-08 11:00:28 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-08 11:00:00', 'MAIN METER 2', '2026-03-08 10:00:00', '26-03-08 11:00',368.42)
2026-03-08 18:00:21 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-08 18:00:00', 'MAIN METER 2', '2026-03-08 18:00:00', '26-03-08 18:00',0.00)
2026-03-09 07:00:40 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-09 07:00:00', 'MAIN METER 2', '2026-03-09 06:00:00', '26-03-09 07:00',8.49)
2026-03-09 12:00:37 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-09 12:00:00', 'MAIN METER 2', '2026-03-09 11:00:00', '26-03-09 12:00',431.30)
2026-03-09 19:00:55 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-09 19:00:00', 'MAIN METER 2', '2026-03-09 19:00:00', '26-03-09 19:00',0.00)
2026-03-10 11:00:37 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-10 11:00:00', 'MAIN METER 2', '2026-03-10 10:00:00', '26-03-10 11:00',333.58)
2026-03-10 12:00:30 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-10 12:00:00', 'MAIN METER 2', '2026-03-10 11:00:00', '26-03-10 12:00',420.02)
2026-03-11 07:00:20 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 07:00:00', 'MAIN METER 2', '2026-03-11 06:00:00', '26-03-11 07:00',8.59)
2026-03-11 11:00:23 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 11:00:00', 'MAIN METER 2', '2026-03-11 10:00:00', '26-03-11 11:00',240.46)
2026-03-11 15:00:18 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 15:00:00', 'MAIN METER 2', '2026-03-11 15:00:00', '26-03-11 15:00',0.00)
2026-03-11 15:00:19 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 15:00:00', 'MAIN METER 2', '2026-03-11 15:00:00', '26-03-11 15:00',0.00)
2026-03-11 16:00:24 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 16:00:00', 'MAIN METER 2', '2026-03-11 16:00:00', '26-03-11 16:00',0.00)
2026-03-11 16:00:24 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-11 16:00:00', 'MAIN METER 2', '2026-03-11 16:00:00', '26-03-11 16:00',0.00)
2026-03-12 07:00:34 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 07:00:00', 'MAIN METER 2', '2026-03-12 06:00:00', '26-03-12 07:00',11.40)
2026-03-12 13:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 13:00:00', 'MAIN METER 2', '2026-03-12 13:00:00', '26-03-12 13:00',0.00)
2026-03-12 14:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 14:00:00', 'MAIN METER 2', '2026-03-12 14:00:00', '26-03-12 14:00',0.00)
2026-03-12 15:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 15:00:00', 'MAIN METER 2', '2026-03-12 15:00:00', '26-03-12 15:00',0.00)
2026-03-12 15:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 15:00:00', 'MAIN METER 2', '2026-03-12 15:00:00', '26-03-12 15:00',0.00)
2026-03-12 17:00:20 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-12 17:00:00', 'MAIN METER 2', '2026-03-12 16:00:00', '26-03-12 17:00',171.66)
2026-03-13 11:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-13 11:00:00', 'MAIN METER 2', '2026-03-13 11:00:00', '26-03-13 11:00',0.00)
2026-03-13 11:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-13 11:00:00', 'MAIN METER 2', '2026-03-13 11:00:00', '26-03-13 11:00',0.00)
2026-03-13 14:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-13 14:00:00', 'MAIN METER 2', '2026-03-13 13:00:00', '26-03-13 14:00',356.55)
2026-03-15 05:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-15 05:00:00', 'MAIN METER 2', '2026-03-14 20:00:00', '26-03-15 05:00',0.00)
2026-03-15 09:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-15 09:00:00', 'MAIN METER 2', '2026-03-15 08:00:00', '26-03-15 09:00',171.91)
2026-03-15 18:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-15 18:00:00', 'MAIN METER 2', '2026-03-15 18:00:00', '26-03-15 18:00',0.00)
2026-03-16 10:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-16 10:00:00', 'MAIN METER 2', '2026-03-16 09:00:00', '26-03-16 10:00',334.81)
2026-03-16 14:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-16 14:00:00', 'MAIN METER 2', '2026-03-16 14:00:00', '26-03-16 14:00',0.00)
